algorithm,min_support,min_conf,runtime_sec,memory_mb
apriori,0.003,0.4,1.210123,1389.23
fpgrowth,0.003,0.4,0.571284,103.50
eclat,0.003,0.4,0.113798,1.44
apriori_improved,0.003,0.4,1.008696,23.15
apriori,0.004,0.4,0.628760,508.58
fpgrowth,0.004,0.4,0.500676,103.50
eclat,0.004,0.4,0.047556,1.34
apriori_improved,0.004,0.4,0.396094,10.16
apriori,0.005,0.4,0.501502,223.42
fpgrowth,0.005,0.4,0.489304,103.50
eclat,0.005,0.4,0.026131,1.28
apriori_improved,0.005,0.4,0.237772,7.35
apriori,0.007,0.4,0.434515,103.50
fpgrowth,0.007,0.4,0.477768,103.50
eclat,0.007,0.4,0.014427,1.21
apriori_improved,0.007,0.4,0.146900,2.25
apriori,0.01,0.4,0.414808,103.50
fpgrowth,0.01,0.4,0.470573,103.50
eclat,0.01,0.4,0.011480,1.18
apriori_improved,0.01,0.4,0.055191,0.99
